Epoch,Train-RMSE,Validate-RMSE
234,894.0806,905.7508
235,890.3474,904.0802
236,887.0559,902.5924
237,897.9245,901.0210
238,885.7651,899.4248
239,888.3218,897.8782
240,886.8498,896.4183
241,883.6858,894.9532
242,874.8463,893.4976
243,876.4436,892.0085
244,871.4916,890.7954
245,874.7267,889.5263
246,873.3328,888.2034
247,874.1586,886.9309
248,873.1055,885.7722
249,869.5396,884.5101
250,869.9241,883.3141
251,871.5610,882.2156
252,867.4614,881.0432
253,862.4727,879.9350
254,861.8423,878.7752
255,861.7185,877.7136
256,859.0304,876.6886
257,861.2385,875.7471
258,863.5959,874.7098
259,857.9650,873.7259
260,863.6563,872.7493
261,861.6310,871.8465
262,856.5304,870.9620
263,854.9378,870.0321
264,862.2208,869.2472
265,856.8986,868.4747
266,857.2140,867.5503
267,857.5334,866.7645
268,858.4722,865.9437
269,854.8905,865.2701
270,856.0855,864.4753
271,856.5467,863.7266
272,859.1172,863.0631
273,850.2941,862.3328
274,855.8646,861.7251
275,849.7405,861.0267
276,850.7658,860.3653
277,849.2994,859.7722
278,854.1269,859.1729
279,847.8850,858.5702
280,846.7500,858.0284
281,844.2124,857.4703
282,849.1953,856.9780
283,844.8263,856.5095
284,844.9451,856.0018
285,842.1260,855.4998
286,850.7275,854.9917
287,843.9518,854.5410
288,842.7202,854.1512
289,846.8901,853.7450
290,847.8719,853.2941
291,846.7642,852.8747
292,844.0274,852.5047
293,838.0604,852.1085
294,840.9693,851.7613
295,841.3642,851.4207
296,840.5934,851.0594
297,843.3793,850.7504
298,843.8602,850.4728
299,839.1537,850.1632
300,844.3080,849.8091
301,837.4036,849.5206
302,846.8426,849.2203
303,844.2930,848.9493
304,843.5274,848.6749
305,838.9364,848.4552
306,838.7049,848.2030
307,840.4092,848.0003
308,845.7471,847.7466
309,840.6649,847.5399
310,837.1936,847.2747
311,840.2654,847.0763
312,837.4217,846.8763
313,845.3435,846.6957
314,839.9522,846.4566
315,837.3453,846.2817
316,839.5426,846.1252
317,839.3635,845.9668
318,837.3281,845.7740
319,839.8685,845.6304
320,842.9515,845.4984
321,839.7383,845.3569
322,841.5339,845.2338
323,844.4394,845.1180
324,845.3733,844.9462
325,839.7844,844.7752
326,836.7298,844.6527
327,838.5981,844.5662
328,836.3514,844.5028
329,833.0779,844.3688
330,838.5262,844.2684
331,835.7698,844.1506
332,835.0177,844.0860
333,838.8461,844.0281
334,839.5365,843.9075
335,842.6482,843.7876
336,838.6181,843.7400
337,841.9246,843.6339
338,838.5072,843.5127
339,841.6377,843.4663
340,837.2497,843.3740
341,838.4254,843.3114
342,839.0923,843.2749
343,835.3179,843.2142
344,836.9104,843.1358
345,840.1291,843.0745
346,834.4598,843.0096
347,839.7591,842.9519
348,837.0704,842.9390
349,835.9057,842.8868
350,846.0302,842.8247
351,838.8656,842.8108
352,838.0170,842.7459
353,839.0411,842.7195
354,838.9020,842.6783
355,836.6454,842.6733
356,838.7415,842.5894
357,840.7444,842.5812
358,838.5992,842.4979
359,837.4232,842.4827
360,832.9946,842.4538
361,834.6942,842.4207
362,839.2369,842.4159
363,835.6779,842.3980
364,838.6605,842.3569
365,834.6874,842.3517
366,838.6467,842.3348
367,837.3237,842.2561
368,835.9304,842.2200
369,835.0208,842.2096
370,845.1298,842.2207
371,840.0577,842.1311
372,842.3083,842.1354
373,839.4229,842.1687
374,837.0622,842.1334
375,839.1338,842.0979
376,838.1060,842.1374
377,840.1089,842.1075
378,840.5015,842.0768
379,841.0173,842.0927
380,836.2001,842.0776
381,835.7537,842.0941
382,842.0376,842.0774
383,843.4811,842.0505
384,840.9529,842.0133
385,842.2747,842.0478
386,835.4748,842.0436
387,846.4254,842.0671
388,840.7800,842.0191
389,838.0859,841.9543
390,837.4534,841.9792
391,842.5248,841.9795
392,836.1344,841.9298
393,834.3948,841.9463
394,835.6335,841.8729
395,836.9795,841.9050
396,839.9063,841.8981
397,842.8707,841.8695
398,840.8395,841.8767
399,842.2929,841.8652
400,838.6829,841.8609
401,839.9913,841.8457
402,838.1498,841.8381
403,838.6649,841.8489
404,843.7270,841.8581
405,838.1623,841.8760
406,841.4490,841.8836
407,836.6946,841.8555
408,836.6548,841.8271
409,841.4939,841.8253
410,838.3827,841.8254
411,836.7930,841.8270
412,842.1857,841.8145
413,838.8831,841.8148
414,834.3249,841.8393
415,832.3492,841.8775
416,838.5408,841.9050
417,840.9902,841.8729
418,840.9121,841.8770
419,840.7914,841.8794
420,835.5857,841.8614
421,835.7883,841.8547
422,839.6972,841.9052
423,839.2828,841.8346
424,839.1148,841.8744
425,836.1240,841.9342
426,844.6724,841.9105
427,836.1141,841.8562
428,845.6042,841.8867
429,837.5481,841.8486
430,835.2255,841.8596
431,835.7954,841.8732
432,843.1259,841.8634
433,835.7261,841.8616
434,838.2864,841.8928
435,837.4627,841.8660
436,834.5796,841.8610
437,837.0505,841.8659
438,843.2519,841.8706
439,833.5432,841.8526
440,842.3752,841.8133
441,838.9905,841.8658
442,834.1120,841.8235
443,840.1694,841.8473
444,841.8310,841.8508
445,844.0980,841.8405
446,838.9996,841.7850
447,839.6402,841.7929
448,838.5786,841.8356
449,841.3650,841.8012
450,838.2390,841.8613
451,838.9930,841.8307
452,834.7518,841.8149
453,840.4664,841.8329
454,841.7110,841.7858
455,839.6609,841.8231
456,837.4194,841.7815
457,836.0755,841.8397
458,839.5079,841.8014
459,839.2968,841.7904
460,840.5030,841.7775
461,836.1177,841.7950
462,842.2657,841.7775
463,839.8357,841.7654
464,839.5596,841.7793
465,843.7833,841.7404
466,839.5420,841.7193
467,840.9724,841.7555
468,841.0471,841.7704
469,839.4431,841.7519
470,838.2120,841.7860
471,837.6431,841.7992
472,840.7111,841.7816
473,836.6449,841.8022
474,835.4854,841.7736
475,836.2354,841.7739
476,837.1339,841.8015
477,834.8822,841.8278
478,838.2866,841.8236
479,836.9172,841.8128
480,838.8454,841.8578
481,837.0070,841.8930
482,839.9044,841.8443
483,838.6306,841.7871
484,843.3658,841.8485
485,838.7524,841.8379
486,837.0598,841.8451
487,839.0075,841.8223
488,836.2393,841.8458
489,832.6636,841.8432
490,845.9387,841.8638
491,837.6500,841.8079
492,832.7523,841.7912
493,831.9941,841.8028
494,836.6955,841.8284
495,833.9832,841.7396
496,842.9346,841.7762
497,839.9742,841.8115
498,840.4478,841.7420
499,838.3036,841.8083
500,837.4890,841.8296
